year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,candidatevotes,Result,Strategy 1,strategy 2,strategy 3,strategy 4,strategy 5,People_ survey (%)
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,941173,win,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,35%
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"GORE, AL",DEMOCRAT,692611,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,28%
2000,ALABAMA,AL,1,63,41,US PRESIDENT,,INDEPENDENT,25896,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,20%
2000,ALABAMA,AL,1,63,41,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,5893,loss,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,40%
2000,ALABAMA,AL,1,63,41,US PRESIDENT,,,699,loss,expanding the rural employtment guarantee scheme to 150 days,hi-tech highways,transporation service in rural areas,free cylinders,2gb data free for students,39%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,167398,win,improving infrastructure in harbour ports,same ration card for all the states,increasing the public toilets,reservation in private sector wil also insisted ,clean US,31%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"GORE, AL",DEMOCRAT,79004,loss,free bicycle,free laptop,2gb data free for college studensts,6lpg cylinders are  free for a year,gas pipeline plan,25%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"NADER, RALPH",GREEN,28747,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,37%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,5192,win,job to youth 40%,tourism development,cancel of education loan,hi-tech highways,gas pipeline plan,78%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,2636,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,33%
2000,ALASKA,AK,2,94,81,US PRESIDENT,,,1068,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,18%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,919,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,15%
2000,ALASKA,AK,2,94,81,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,596,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,18%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,781652,win,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,39%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"GORE, AL",DEMOCRAT,685341,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,12%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"NADER, RALPH",GREEN,45645,loss,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,32%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,12373,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,33%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"L. NEIL, SMITH",LIBERTARIAN,5775,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,27%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,1120,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,13%
2000,ARIZONA,AZ,4,86,61,US PRESIDENT,,,110,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,18%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,472940,win,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,22%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"GORE, AL",DEMOCRAT,422768,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,34%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"NADER, RALPH",GREEN,13421,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,23%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,7358,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,34%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,2781,win,decrease of petrol,govt job to youth,gas pipeline,same ration card for all the states,introducing metro trains in 2nd level cities,31%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1415,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,23%
2000,ARKANSAS,AR,5,71,42,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,1098,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,24%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"GORE, AL",DEMOCRAT,5861203,win,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,increase in maternity leave period ,21%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,4567429,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,36%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"NADER, RALPH",GREEN,418707,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,28%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,45520,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,33%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"BUCHANAN, PATRICK """"PAT""""",REFORM PARTY,44987,loss,improvising the USn economy to 5 trillion dollars,same ration card for all the states,buliding concrete houses for people living in huts,increasing the public toilets facility,introducing metro trains in 2nd level cities,22%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"PHILLIPS, HOWARD",AMERICAN INDEPENDENT PARTY,17042,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,11%
2000,CALIFORNIA,CA,6,93,71,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,10934,loss,buliding concrete houses for people,repayment omission for agriculture loan,hi-tech highways,tourism development,decrease of tax,86%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"BUSH, GEORGE W.",REPUBLICAN,883748,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,26%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"GORE, AL",DEMOCRAT,738227,win,increase in maternity leave period ,govt job to families without anyone in state service,free laptop ,free bicyle,hi-tech highways,34%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"NADER, RALPH",GREEN,91434,loss,tourism development ,job to youth ,40% govt jon to ladies,free hospitalization,free education,23%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"BROWNE, HARRY",LIBERTARIAN,12799,loss,loan waiber to hotels,decrease of petrol ,decrease of tax,education empowerment,eradication of racisim,32%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",FREEDOM,10465,loss,free washing machine,montlhy rs.1500 for household womens,6 lgp cylinders are free ,repayment omission for agriculture loan,repayment omission for gold loan,21%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"HAGELIN, JOHN",NATURAL LAW,2240,loss,cancel of education loan,free laptop,free bicyle,2gb data for students,clean US,13%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"PHILLIPS, HOWARD",CONSTITUTION PARTY,1319,loss,gas pipline plan ,hi-tech highways,transporation service in rural areas,improvinf infrascture in harbour ports,increasing the investements from fereign MNC's,12%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"MCREYNOLDS, DAVID",SOCIALIST,712,loss,free laptop,free bicycle,2gb data free for college studensts,free washing machine,6 lpg cylinders are free for a year,36%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"HARRIS, JAMES",SOCIALIST WORKERS,216,loss,free hospitalization,govt job to ladies,loan waiver to hotels,education empowerment,free bicycle,45%
2000,COLORADO,CO,8,84,62,US PRESIDENT,"DODGE, EARL",PROHIBITION,208,loss,incresing the investement from foreign MNC's,same ration card for all the states,free laptop ,cancel of education loan,free bicycle,33%
2000,CONNECTICUT,CT,9,16,1,US PRESIDENT,"GORE, AL",DEMOCRAT,816015,win,clean US,repayment omission for gold loan,free washing machine,buliding concrete houses for people living in huts,free education,43%
